date,country,ccy,headline,source
2024-05-10,Turkey,TRY,Turkish central bank raises rates again amid inflation concerns,Reuters
2024-05-10,Turkey,TRY,Turkey inflation accelerates to 47% year-over-year,Bloomberg
2024-05-09,India,INR,India GDP growth slows to 6.1% in Q4,Financial Times
2024-05-09,India,INR,Indian government debt burden rises amid fiscal pressures,Economist
2024-05-10,Brazil,BRL,Brazil currency weakens as commodity prices fall,Wall Street Journal
2024-05-10,Brazil,BRL,Brazilian central bank signals pause in rate cuts,CNBC
2024-05-08,Mexico,MXN,Mexico faces currency volatility amid political uncertainty,Reuters
2024-05-08,Mexico,MXN,Mexican manufacturing output contracts in April,Bloomberg
2024-05-10,Philippines,PHP,Philippines external debt rises to record levels,Financial Times
2024-05-09,Philippines,PHP,Philippine central bank tightens policy amid inflation,Economist
2024-05-10,South Africa,ZAR,South African rand hits three-month low,Reuters
2024-05-09,South Africa,ZAR,South Africa inflation moderates but remains above target,Bloomberg
2024-05-10,Colombia,COP,Colombian peso weakens amid oil price decline,Wall Street Journal
2024-05-09,Colombia,COP,Colombia fiscal situation deteriorates,Financial Times
2024-05-10,Thailand,THB,Thailand tourism rebounds strongly post-Covid,Reuters
2024-05-09,Thailand,THB,Thai baht strengthens on positive growth data,Bloomberg
2024-05-10,Indonesia,IDR,Indonesia exports rise despite global slowdown,Financial Times
2024-05-09,Indonesia,IDR,Indonesian rupiah stable amid supportive commodity prices,Economist
2024-05-10,Chile,CLP,Chilean copper exports hit record high,Reuters
2024-05-09,Chile,CLP,Chilean peso appreciates on commodity strength,Bloomberg
2024-05-10,Peru,PEN,Peru mining sector recovers amid higher copper prices,Wall Street Journal
2024-05-09,Peru,PEN,Peruvian sol strengthens against dollar,Financial Times
2024-05-10,Vietnam,VND,Vietnam manufacturing activity expands strongly,Reuters
2024-05-09,Vietnam,VND,Vietnamese dong appreciates on strong exports,Bloomberg
